Unidades da Federação;Localização;Ano;Reservas totais de petróleo (em milhões de barris)
Amazonas;Terra;2009;200,534006
Maranhão;Terra;2009;0
Ceará;Terra;2009;20,577735
Ceará;Mar;2009;82,67576
Rio Grande do Norte;Terra;2009;357,634933
Rio Grande do Norte;Mar;2009;187,721276
Alagoas;Terra;2009;14,207852
Alagoas;Mar;2009;0,85544
Sergipe;Terra;2009;295,918711
Sergipe;Mar;2009;133,856232
Bahia;Terra;2009;505,644923
Bahia;Mar;2009;116,933616
Espírito Santo;Terra;2009;83,743173
Espírito Santo;Mar;2009;2617,412412
Rio de Janeiro3;Mar;2009;16337,8976
São Paulo4;Mar;2009;116,517218
Paraná5;Terra;2009;0,010064
Paraná5;Mar;2009;35,9159
Santa Catarina6;Mar;2009;46,134005
Amazonas;Terra;2010;211,386772
Maranhão;Terra;2010;0
Ceará;Terra;2010;19,720408
Ceará;Mar;2010;111,808524
Rio Grande do Norte;Terra;2010;333,91723
Rio Grande do Norte;Mar;2010;185,686461
Alagoas;Terra;2010;14,514804
Alagoas;Mar;2010;0,827764
Sergipe;Terra;2010;331,465388
Sergipe;Mar;2010;126,784385
Bahia;Terra;2010;501,269599
Bahia;Mar;2010;140,327384
Espírito Santo;Terra;2010;79,769151
Espírito Santo;Mar;2010;2627,341177
Rio de Janeiro3;Mar;2010;23580,33821
São Paulo4;Mar;2010;117,646273
Paraná5;Terra;2010;0,010693
Paraná5;Mar;2010;38,373403
Santa Catarina6;Mar;2010;46,240935
Amazonas;Terra;2011;192,3034
Maranhão;Terra;2011;0
Ceará;Terra;2011;17,5762
Ceará;Mar;2011;92,7315
Rio Grande do Norte;Terra;2011;351,3313
Rio Grande do Norte;Mar;2011;197,7808
Alagoas;Terra;2011;21,2369
Alagoas;Mar;2011;0,7005
Sergipe;Terra;2011;319,3617
Sergipe;Mar;2011;116,5143
Bahia;Terra;2011;597,2134
Bahia;Mar;2011;127,7317
Espírito Santo;Terra;2011;77,2677
Espírito Santo;Mar;2011;2851,949
Rio de Janeiro3;Mar;2011;23081,4542
São Paulo4;Mar;2011;1949,3334
Paraná5;Terra;2011;0,0104
Paraná5;Mar;2011;39,563
Santa Catarina6;Mar;2011;47,7795
Amazonas;Terra;2012;168,635706
Maranhão;Terra;2012;0
Ceará;Terra;2012;31,00108973
Ceará;Mar;2012;66,24005217
Rio Grande do Norte;Terra;2012;355,5708344
Rio Grande do Norte;Mar;2012;191,6160866
Alagoas;Terra;2012;14,56932069
Alagoas;Mar;2012;0,55902573
Sergipe;Terra;2012;306,8632123
Sergipe;Mar;2012;126,0997489
Bahia;Terra;2012;522,5981689
Bahia;Mar;2012;127,1370994
Espírito Santo;Terra;2012;76,29665597
Espírito Santo;Mar;2012;2676,399501
Rio de Janeiro3;Mar;2012;22135,77758
São Paulo4;Mar;2012;1665,380442
Paraná5;Terra;2012;0
Paraná5;Mar;2012;42,63837669
Santa Catarina6;Mar;2012;47,78401364
Amazonas;Terra;2013;166,9734413
Maranhão;Terra;2013;0,06126633
Ceará;Terra;2013;31,185117
Ceará;Mar;2013;79,85715746
Rio Grande do Norte;Terra;2013;335,9154801
Rio Grande do Norte;Mar;2013;186,8113825
Alagoas;Terra;2013;16,1079515
Alagoas;Mar;2013;0,97164985
Sergipe;Terra;2013;294,2439837
Sergipe;Mar;2013;104,906512
Bahia;Terra;2013;531,3540111
Bahia;Mar;2013;123,97391
Espírito Santo;Terra;2013;68,96078759
Espírito Santo;Mar;2013;2446,916916
Rio de Janeiro3;Mar;2013;24017,58206
São Paulo4;Mar;2013;1685,307498
Paraná5;Terra;2013;0
Paraná5;Mar;2013;42,21664492
Santa Catarina6;Mar;2013;47,77954158
Amazonas;Terra;2014;89,6388121
Maranhão;Terra;2014;0,04685223
Ceará;Terra;2014;30,35634018
Ceará;Mar;2014;61,69839422
Rio Grande do Norte;Terra;2014;326,5575906
Rio Grande do Norte;Mar;2014;176,6364135
Alagoas;Terra;2014;13,98063504
Alagoas;Mar;2014;0,83853231
Sergipe;Terra;2014;296,0664216
Sergipe;Mar;2014;98,92874309
Bahia;Terra;2014;343,2017678
Bahia;Mar;2014;96,00191724
Espírito Santo;Terra;2014;69,93252677
Espírito Santo;Mar;2014;2300,639056
Rio de Janeiro3;Mar;2014;25618,79286
São Paulo4;Mar;2014;1535,486538
Paraná5;Terra;2014;0
Paraná5;Mar;2014;0
Santa Catarina6;Mar;2014;47,77954158
Amazonas;Terra;2015;61,86507485
Maranhão;Terra;2015;0,06790011
Ceará;Terra;2015;19,56791953
Ceará;Mar;2015;25,18491469
Rio Grande do Norte;Terra;2015;246,9062341
Rio Grande do Norte;Mar;2015;128,6223607
Alagoas;Terra;2015;12,3175022
Alagoas;Mar;2015;0,68549049
Sergipe;Terra;2015;272,4330808
Sergipe;Mar;2015;78,00634931
Bahia;Terra;2015;286,7948378
Bahia;Mar;2015;90,72528057
Espírito Santo;Terra;2015;51,88803492
Espírito Santo;Mar;2015;2196,776921
Rio de Janeiro3;Mar;2015;19757,44636
São Paulo4;Mar;2015;1161,460155
Paraná5;Terra;2015;0
Paraná5;Mar;2015;0
Santa Catarina6;Mar;2015;0
Amazonas;Terra;2016;49,67479971
Maranhão;Terra;2016;0,12579393
Ceará;Terra;2016;4,11791974
Ceará;Mar;2016;44,61073531
Rio Grande do Norte;Terra;2016;243,4210579
Rio Grande do Norte;Mar;2016;119,4686008
Alagoas;Terra;2016;7,9509202
Alagoas;Mar;2016;0,45057054
Sergipe;Terra;2016;334,3000597
Sergipe;Mar;2016;46,62990168
Bahia;Terra;2016;346,8374391
Bahia;Mar;2016;90,88681731
Espírito Santo;Terra;2016;55,67690541
Espírito Santo;Mar;2016;1910,335697
Rio de Janeiro3;Mar;2016;18441,0719
São Paulo4;Mar;2016;961,5106059
Paraná5;Terra;2016;0
Paraná5;Mar;2016;0
Santa Catarina6;Mar;2016;0
Amazonas;Terra;2017;45,79911314
Maranhão;Terra;2017;0,2798581
Ceará;Terra;2017;0,71642194
Ceará;Mar;2017;12,56242367
Rio Grande do Norte;Terra;2017;231,9086474
Rio Grande do Norte;Mar;2017;118,2402135
Alagoas;Terra;2017;8,59026028
Alagoas;Mar;2017;0,39009402
Sergipe;Terra;2017;344,9475028
Sergipe;Mar;2017;3,82412598
Bahia;Terra;2017;224,0682751
Bahia;Mar;2017;90,64930151
Espírito Santo;Terra;2017;49,97793136
Espírito Santo;Mar;2017;1788,65355
Rio de Janeiro3;Mar;2017;19731,91167
São Paulo4;Mar;2017;927,8270946
Paraná5;Terra;2017;0
Paraná5;Mar;2017;0
Santa Catarina6;Mar;2017;0
Amazonas;Terra;2018;45,72775524
Maranhão;Terra;2018;0,27365491
Ceará;Terra;2018;3,6235847
Ceará;Mar;2018;28,25039858
Rio Grande do Norte;Terra;2018;162,751634
Rio Grande do Norte;Mar;2018;108,7041508
Alagoas;Terra;2018;5,37416425
Alagoas;Mar;2018;0,26320339
Sergipe;Terra;2018;232,7415795
Sergipe;Mar;2018;7,01799747
Bahia;Terra;2018;207,7456937
Bahia;Mar;2018;90,92246167
Espírito Santo;Terra;2018;45,1194966
Espírito Santo;Mar;2018;1630,019866
Rio de Janeiro3;Mar;2018;20184,11572
São Paulo4;Mar;2018;1555,965319
Paraná5;Terra;2018;0
Paraná5;Mar;2018;0
Santa Catarina6;Mar;2018;0
